Group or Channel Name|Chat Type|Chat URL|Number of Members or Subscribers|Description|Scrapped From|Scrapped Date
Girls   2|group|https://t.me/body_gir|1377|You can view and join @body_gir right away.|https://putariatelegram.com/|2023-11-26 00:18:20.008148
Only Das Gostosas|group|https://t.me/+819j7liPowBhZTdh|4629|N/A|https://putariatelegram.com/|2023-11-26 00:18:20.361571
Only Das Gostosas|channel|https://t.me/+4NfPwYvj41ozYWUx|3318|N/A|https://putariatelegram.com/|2023-11-26 00:18:20.709993
Alegria diaria|group|https://t.me/+NhEnfGNY0SxmZTcx|2058|Sejam bem vindos ao unico grupo de putaria sem fins lucrativosSo pura diversao Qualquer venda ou algo similar a pornografia infantil denuncie e me mande uma mensagem, iremos tomar medidas cabiveis |https://putariatelegram.com/|2023-11-26 00:18:21.074535
Novinhas [Chat]|group|https://t.me/+hqwSkEtiwNtmNjZh|9403|Grupo pra quem tem prazer em ver prazerTenha acesso a conteudos exclusivosSeja uma modelo verificada nesse grupo,  chame @carolynavivian/ @gisely021|https://putariatelegram.com/|2023-11-26 00:18:21.865633
PROIBIDAO TRANS(tm)|channel|https://t.me/+y3hR9L9fXkxlY2Ix|4525|Doces ou Travessuras? |https://putariatelegram.com/|2023-11-26 00:18:22.574058
Vazados Famosinhas Insta|group|https://t.me/+HvY9Cr_uvBViOTEx|3440|N/A|https://putariatelegram.com/|2023-11-26 00:18:22.938744
SUPER HOT GRATIS|channel|https://t.me/+uaUOiuOJR4U5ZDYx|3554|N/A|https://putariatelegram.com/|2023-11-26 00:18:23.287860
Vazados da favela|group|https://t.me/vazado01|2495|You can view and join @vazado01 right away.|https://putariatelegram.com/|2023-11-26 00:18:23.642237
hora Do praZer|group|https://t.me/+y1Zg93BjHrU4ZTNh|2083|Ola bem vindos ao meu clube de putaria \"HORA DO PRAZER\" ..ATENCAO: Oque acontece aqui fica aki grupo restringido de salvar conteudos fique a vontade pra assistir e tambem conhecer o trabalho de nossas \"LINDAS MODELOS\" q estao com tag de *VERIFICADA* |https://putariatelegram.com/|2023-11-26 00:18:23.997938
Vazados Famosinhas Insta|group|https://t.me/+eeeBeaDhV8pkZjMx|3440|N/A|https://putariatelegram.com/|2023-11-26 00:18:24.353973
PROIBIDAO TRANS(tm)|channel|https://t.me/+i0Wn9wzj65Q2MGNh|4525|Doces ou Travessuras? |https://putariatelegram.com/|2023-11-26 00:18:24.704527
Vazadas 2023|group|https://t.me/SoNovinha2023|1568|OS MELHORES VAZADOS COMPLETO NO VIP 100% CASEIROS|https://putariatelegram.com/|2023-11-26 00:18:25.056198
Novinhas Vazadinhas|group|https://t.me/Novinhasvazadinhas18|2754|You can view and join @Novinhasvazadinhas18 right away.|https://putariatelegram.com/|2023-11-26 00:18:30.419308
ONLYFANS GRATIS|channel|https://t.me/+Pu_LsmyPZ5U4ZTFh|1199|N/A|https://putariatelegram.com/|2023-11-26 00:18:30.857944
Exibicionismo publico e cuck 4k|channel|https://t.me/+s4uaDrZTdKdmYmQ5|4714|Canal voltado para exibicionismo publico, sexo em publico, flagra gostosas e Cuckold.Downloads estao liberados no grupo vip com mais videos por R$15.|https://putariatelegram.com/|2023-11-26 00:18:31.207213
Club Putaria Brasil|channel|https://t.me/+ycnBFspXf1A0NzJh|4032|ATUALIZADO TODOS OS DIAS|https://putariatelegram.com/|2023-11-26 00:18:31.562436
Vazados Famosinhas Insta|group|https://t.me/+nZwboDlXdZZiMzVh|3440|N/A|https://putariatelegram.com/|2023-11-26 00:18:32.287917
hora Do praZer|group|https://t.me/+-O7-Eclg4IJlNzAx|2083|Ola bem vindos ao meu clube de putaria \"HORA DO PRAZER\" ..ATENCAO: Oque acontece aqui fica aki grupo restringido de salvar conteudos fique a vontade pra assistir e tambem conhecer o trabalho de nossas \"LINDAS MODELOS\" q estao com tag de *VERIFICADA* |https://putariatelegram.com/|2023-11-26 00:18:32.985308
Clube  Oficial|channel|https://t.me/+xLyM4tBXy-RkNThh|9325|N/A|https://putariatelegram.com/|2023-11-26 00:18:33.336174
SUPER HOT GRATIS|channel|https://t.me/+anQ5hMosvEM4MWE5|3554|N/A|https://putariatelegram.com/|2023-11-26 00:18:34.054527
